latitude,longitude,season,chlor_a,sss,analysed_sst,year_month
-2.3645885,131.11461,Musim Barat,0.192009205,33.426535333333334,30.05,2022-12
-2.3645885,131.32292,Musim Barat,0.2075883425,33.426535333333334,30.13,2022-12
-2.3645885,131.53127,Musim Barat,0.278172485,33.426535333333334,30.13,2022-12
-2.3645885,131.73961,Musim Barat,0.34216051000000003,35.66477683333333,30.13,2022-12
-2.3645885,131.94792,Musim Barat,0.82772499,35.66477683333333,30.206666666666667,2022-12
-2.3645885,132.15627,Musim Barat,1.66601395,35.66477683333333,30.206666666666667,2022-12
-2.3645885,132.36461,Musim Barat,1.94217455,35.66477683333333,30.03333333333333,2022-12
-2.3645885,132.57292,Musim Barat,3.2524792,35.66477683333333,30.03333333333333,2022-12
-2.3645885,132.78127,Musim Barat,4.747434875,35.66477683333333,30.03333333333333,2022-12
-2.3645885,132.98961,Musim Barat,4.6199223499999995,34.5110015,30.03333333333333,2022-12
-2.3645885,133.19792,Musim Barat,4.905921175,34.5110015,29.919999999999998,2022-12
-2.3645885,133.40627,Musim Barat,4.502935525,32.083873,29.919999999999998,2022-12
-2.3645885,133.61461,Musim Barat,4.816008525,32.083873,29.919999999999998,2022-12
-2.3645885,133.82292,Musim Barat,8.9942245,32.083873,29.919999999999998,2022-12
-2.3645885,134.23961,Musim Barat,0.282091435,32.083873,30.116666666666664,2022-12
-2.3645885,134.44792,Musim Barat,0.37768596,32.849089,30.116666666666664,2022-12
-2.3645885,134.65627,Musim Barat,0.247174155,32.849089,30.116666666666664,2022-12
-2.3645885,134.86461,Musim Barat,0.2267780775,32.849089,30.179999999999996,2022-12
-2.3645885,135.07292,Musim Barat,0.2054739075,32.849089,30.179999999999996,2022-12
-2.3645885,135.28127,Musim Barat,0.2023261625,33.66657116666667,30.203333333333333,2022-12
-2.3645885,135.48961,Musim Barat,0.2001029825,33.66657116666667,30.203333333333333,2022-12
-2.3645885,135.69792,Musim Barat,0.205703825,32.5138252,30.203333333333333,2022-12
-2.3645885,135.90627,Musim Barat,0.262416335,30.215775,30.02333333333333,2022-12
-2.3645885,136.11461,Musim Barat,0.31111183499999995,30.215775,30.02333333333333,2022-12
-2.3645885,136.32292,Musim Barat,6.43360255,30.215775,29.94333333333333,2022-12
-2.3645885,139.86461,Musim Barat,1.743079225,34.207409,29.843333333333334,2022-12
-2.1562526,127.9896,Musim Barat,0.1550021475,33.4658944,29.88,2022-12
-2.1562526,128.19792,Musim Barat,0.155302355,33.4658944,29.88,2022-12
-2.1562526,128.40627,Musim Barat,0.15571634374999999,34.0153806,29.986666666666668,2022-12
-2.1562526,128.61461,Musim Barat,0.168334845,34.422303,29.986666666666668,2022-12
-2.1562526,128.82292,Musim Barat,0.1695279125,34.23028166666666,29.973333333333333,2022-12
-2.1562526,129.03127,Musim Barat,0.1700689425,34.167898,29.973333333333333,2022-12
-2.1562526,129.23961,Musim Barat,0.181202255,34.167898,29.973333333333333,2022-12
-2.1562526,129.44792,Musim Barat,0.19223700500000002,34.20040233333334,29.78,2022-12
-2.1562526,129.65627,Musim Barat,0.18259919000000002,35.9056225,29.78,2022-12
-2.1562526,129.86461,Musim Barat,0.1864617925,32.35823833333333,29.63,2022-12
-2.1562526,130.07292,Musim Barat,0.17258549,32.35823833333333,29.63,2022-12
-2.1562526,130.28127,Musim Barat,0.229578325,32.35823833333333,29.903333333333336,2022-12
-2.1562526,130.48961,Musim Barat,0.321573625,34.648327,29.903333333333336,2022-12
-2.1562526,130.69792,Musim Barat,0.22993097,34.271952999999996,29.903333333333336,2022-12
-2.1562526,130.90627,Musim Barat,0.274599935,35.608123666666664,30.05,2022-12
-2.1562526,131.11461,Musim Barat,0.234610205,35.177276166666665,30.05,2022-12
-2.1562526,131.32292,Musim Barat,0.2583271225,35.177276166666665,30.13,2022-12
-2.1562526,131.53127,Musim Barat,0.439668025,35.66477683333333,30.13,2022-12
-2.1562526,131.73961,Musim Barat,0.6553307825,35.66477683333333,30.13,2022-12
-2.1562526,131.94792,Musim Barat,2.726724625,35.66477683333333,30.206666666666667,2022-12
-2.1562526,132.15627,Musim Barat,6.340339275,35.66477683333333,30.206666666666667,2022-12
-2.1562526,133.82292,Musim Barat,12.225686075,32.083873,29.919999999999998,2022-12
-2.1562526,134.23961,Musim Barat,0.22680718,32.083873,30.116666666666664,2022-12
-2.1562526,134.44792,Musim Barat,0.24610284500000001,32.083873,30.116666666666664,2022-12
-2.1562526,134.65627,Musim Barat,0.2421362475,33.5154086,30.116666666666664,2022-12
-2.1562526,134.86461,Musim Barat,0.2819446525,33.5154086,30.179999999999996,2022-12
-2.1562526,135.07292,Musim Barat,0.20987263750000001,33.5154086,30.179999999999996,2022-12
-2.1562526,135.28127,Musim Barat,0.21612689000000002,33.399519,30.203333333333333,2022-12
-2.1562526,135.48961,Musim Barat,0.2144493025,33.399519,30.203333333333333,2022-12
-2.1562526,135.69792,Musim Barat,0.22300193499999998,34.504101,30.203333333333333,2022-12
-2.1562526,135.90627,Musim Barat,0.255681775,33.825973000000005,30.02333333333333,2022-12
-2.1562526,136.11461,Musim Barat,0.3067531875,33.825973000000005,30.02333333333333,2022-12
-2.1562526,136.32292,Musim Barat,0.44679954,33.825973000000005,29.94333333333333,2022-12
-2.1562526,136.53127,Musim Barat,1.3345254249999998,33.825973000000005,29.94333333333333,2022-12
-2.1562526,136.73961,Musim Barat,1.75018255,33.825973000000005,29.94333333333333,2022-12
-2.1562526,136.94792,Musim Barat,5.41581625,35.3524866,29.94333333333333,2022-12
-2.1562526,139.44792,Musim Barat,0.8548519975000001,34.207409,29.843333333333334,2022-12
-2.1562526,139.65627,Musim Barat,0.364135235,34.207409,29.843333333333334,2022-12
-2.1562526,139.86461,Musim Barat,0.36717556500000004,34.207409,29.843333333333334,2022-12
-1.9479166,127.9896,Musim Barat,0.1756456025,33.4658944,29.673333333333332,2022-12
-1.9479166,128.19792,Musim Barat,0.1666743325,33.4658944,29.673333333333332,2022-12
-1.9479166,128.40627,Musim Barat,0.164383585,34.0153806,29.813333333333333,2022-12
-1.9479166,128.61461,Musim Barat,0.1593919825,34.5370505,29.813333333333333,2022-12
-1.9479166,128.82292,Musim Barat,0.16531127499999998,34.82400983333333,29.683333333333334,2022-12
-1.9479166,129.03127,Musim Barat,0.17669819250000002,34.036379000000004,29.683333333333334,2022-12
-1.9479166,129.23961,Musim Barat,0.1817538575,34.036379000000004,29.683333333333334,2022-12
-1.9479166,129.44792,Musim Barat,0.1825983075,34.20040233333334,29.706666666666667,2022-12
-1.9479166,129.65627,Musim Barat,0.18927646250000002,34.20040233333334,29.706666666666667,2022-12
-1.9479166,130.48961,Musim Barat,1.064554825,35.608123666666664,29.796666666666667,2022-12
-1.9479166,130.69792,Musim Barat,0.4234224875,35.608123666666664,29.796666666666667,2022-12
-1.9479166,130.90627,Musim Barat,0.3338294,35.608123666666664,29.959999999999997,2022-12
-1.9479166,131.11461,Musim Barat,0.310882465,35.608123666666664,29.959999999999997,2022-12
-1.9479166,131.32292,Musim Barat,0.34384256,33.54177733333333,30.27,2022-12
-1.9479166,131.53127,Musim Barat,0.57752861,33.54177733333333,30.27,2022-12
-1.9479166,131.73961,Musim Barat,1.1516222925,35.66477683333333,30.27,2022-12
-1.9479166,131.94792,Musim Barat,6.314809675,35.66477683333333,30.26,2022-12
-1.9479166,134.23961,Musim Barat,0.24825499,32.083873,30.006666666666664,2022-12
-1.9479166,134.44792,Musim Barat,0.2347291925,32.083873,30.006666666666664,2022-12
-1.9479166,134.65627,Musim Barat,0.241495825,32.083873,30.006666666666664,2022-12
-1.9479166,134.86461,Musim Barat,0.27481709,32.95065133333333,29.919999999999998,2022-12
-1.9479166,135.07292,Musim Barat,0.223007875,32.95065133333333,29.919999999999998,2022-12
-1.9479166,135.28127,Musim Barat,0.202436025,32.95065133333333,30.013333333333332,2022-12
-1.9479166,135.48961,Musim Barat,0.211376455,33.399519,30.013333333333332,2022-12
-1.9479166,135.69792,Musim Barat,0.229248195,34.504101,30.013333333333332,2022-12
-1.9479166,135.90627,Musim Barat,0.2706453025,33.825973000000005,30.02333333333333,2022-12
-1.9479166,136.11461,Musim Barat,0.28226599,33.825973000000005,30.02333333333333,2022-12
-1.9479166,136.32292,Musim Barat,0.3846325525,33.825973000000005,30.03333333333333,2022-12
-1.9479166,136.53127,Musim Barat,0.33150293,33.825973000000005,30.03333333333333,2022-12
-1.9479166,136.73961,Musim Barat,0.3901771425,35.3524866,30.03333333333333,2022-12
-1.9479166,136.94792,Musim Barat,1.002593815,35.3524866,29.89,2022-12
-1.9479166,137.15627,Musim Barat,8.2223919,35.3524866,29.89,2022-12
-1.9479166,138.82292,Musim Barat,2.7169238350000002,33.9151076,29.75,2022-12
-1.9479166,139.03127,Musim Barat,1.068207875,33.9151076,29.75,2022-12
-1.9479166,139.23961,Musim Barat,0.53375481,33.9151076,29.75,2022-12
-1.9479166,139.44792,Musim Barat,0.23738296750000001,34.124439125,29.896666666666665,2022-12
-1.9479166,139.65627,Musim Barat,0.36147612500000004,34.207409,29.896666666666665,2022-12
-1.9479166,139.86461,Musim Barat,0.24545343000000003,34.207409,29.986666666666668,2022-12
-1.7395884,127.9896,Musim Barat,0.289204335,33.4658944,29.673333333333332,2022-12
-1.7395884,128.19792,Musim Barat,0.2076773925,33.4658944,29.673333333333332,2022-12
-1.7395884,128.40627,Musim Barat,0.17646814,34.5370505,29.813333333333333,2022-12
-1.7395884,128.61461,Musim Barat,0.1696394125,34.5370505,29.813333333333333,2022-12
-1.7395884,128.82292,Musim Barat,0.17139305500000002,34.82400983333333,29.683333333333334,2022-12
-1.7395884,129.03127,Musim Barat,0.17176926,33.758505285714286,29.683333333333334,2022-12
-1.7395884,129.23961,Musim Barat,0.1805950425,33.758505285714286,29.683333333333334,2022-12
-1.7395884,129.44792,Musim Barat,0.1888477925,33.758505285714286,29.706666666666667,2022-12
-1.7395884,129.65627,Musim Barat,0.25620807749999996,34.20040233333334,29.706666666666667,2022-12
-1.7395884,129.86461,Musim Barat,0.43989071,34.20040233333334,29.606666666666666,2022-12
-1.7395884,130.48961,Musim Barat,0.5831477224999999,35.608123666666664,29.796666666666667,2022-12
